Term_English;Istilah_Indonesia;Definisi
3E criteria;kriteria 3E;Kriteria 3E merupakan keefektifan (effectiveness), efisiensi (efficiency) dan kesetaraan (equity) pertama kali digunakan pada laporan Stern (Economic of Climate Change) untuk mengevaluasi skema pengurangan gas rumah kaca global.
abrupt climate change;perubahan Iklim secara tiba-tiba;Perubahan iklim yang tiba-tiba, ketidaklinieran sistem iklim dapat menyebabkan perubahan iklim yang tiba-tiba, Kadang-kadang disebut iklim yang secara cepat mengalami perubahan, kejadiannya mendadak atau bahkan dapat disebut mengejutkan. Istilah perubahan iklim tiba-tiba yang sering mengacu ke waktu skala lebih cepat dari skala waktu khas yang dipertanggungjawabkan secara paksa. Namun, tidak semua perubahan iklim tiba-tiba harus terjadi karena adanya paksaan eksternal. Beberapa peristiwa yang mungkin dikategorikan termasuk iklim tiba-tiba adalah peristiwa sirkulasi termohalin, mencairnya gletser secara cepat, mencairnya secara besarbesaran material organik dari tanah atau batuan es yang bersuhu dibawah 0°C atau peningkatan respirasi tanah yang menyebabkan terjadinya perubahan cepat siklus karbon. Banyak kejadian lainnya yang mungkin benar-benar tak terduga, dihasilkan dari sesuatu yang kuat, cepat berubahnya sehingga memaksa terjadinya sistem nonlinier.
accreditation;akreditasi;Proyek validator dan pengukur kredit perlu diakreditasi jika layanan profesional mereka akan digunakan oleh pengembang proyek untuk melaksanakan kredit sesuai karbon Kyoto
Accredited Independent Entity (AIE);Badan Independent Terekriditasi;Badan Independen Terakreditasi melakukan validasi dokumen desain proyek untuk proyek Implementasi Bersama. Peran ini mirip dengan Badan Operasi yang didesain dibawah Mekanisme Pembangunan Bersih
Acclimatization;Aklimatisasi;Aklimatisasi adalah penyesuai secara fisiologis terhadap variasi iklim
Active layer;Lapisan Aktif;Lapisan di atas tanah atau batuan pada lapisan es yang terkena pembekuan atau pencairan secara musiman
Activities Implemented Jointly (AIJ);Kegiatan Implementasi Bersama;Kegiatan yang dilaksanakan Bersama, sebagai tahap percontohan untuk Implementasi Bersama, sebagaimana dimaksud dalam Pasal4,(a) dari Kerangka Konvensi PBB tentang Perubahan Iklim (UNFCCC), yang memungkinkan untuk kegiatan proyek antara negara maju (dan perusahaan mereka) dan antara negara maju dan berkembang (dan perusahaan mereka). AIJ ditujukan agar bagi Pihak PBB dalam Kerangka Konvensi Perubahan Iklim (UNFCCC) untuk mendapatkan pengalaman dalam kegiatan proyek yang bersama-sama dilaksanakan. Selama fase proyek percontohan dalam kegiatan kegiatan AIJ tidak ada kredit yang diberikan. Sebuah keputusan masih diambil pada masa depan proyek AIJ dan bagaimana mereka mungkin berhubungan ke Mekanisme Kyoto. Sebagai bentuk sederhana dari izin yang dapat diperdagangkan, AIJ dan lainnya yang berbasis skema pasar mewakili pentingnya potensi mekanisme untuk merangsang arus sumber tambahan untuk kebaikan lingkungan global.
Actual net greenhouse gas removals by sinks;Besar Net Aktual GHG yang diserap;Jumlah dari perubahan diverifikasi dalam persediaan karbon pada sumber karbon dalam batas proyek dari aforestasi atau proyek reforestasi, dikurangi peningkatan emisi gas rumah kaca sebagai akibat dari pelaksanaan kegiatan proyek. Istilah ini berasal dari Mekanisme Pembangunan Bersih (CDM) aforestasi dan reforestasi modalitas dan prosedur.
Adaptation;Adaptation;Adaptasi merupakan tindakan oleh sistem alam atau manusia 2 yang berupaya mengurangi kerusakan terhadap dampak yang ditimbulkan oleh perubahan iklim. Pengertian yang lebih lanjut adaptasi digambarkan sebagai upaya mengatasi akibat atau dampak dari perubahan iklim. Adaptasi, adalah penyesuaian ke dalam sistem alam atau manusia yang baru atau mengubah lingkungan. Adaptasi terhadap perubahan iklim mengacu pada penyesuaian dalam sistem alam atau manusia dalam menanggapi keadaan iklim aktual atau proyeksi iklim dan dampaknya, baik iklim yang dapat menguntungkan ataupun pada saat yang merugikan. Berbagai jenis adaptasi dapat dibedakan, termasuk adaptasi antisipasi, adaptasi reaktif, adaptasi pribadi, adaptasi publik, adaptasi otonom, dan adaptasi direncanakan. Adaptasi berarti juga mengelola kondisi yang tidak dapat dihindari akibat perubahan sudah terjadi.
Adaptation Assessment;Kajian Adaptasi;Proses penilaian atau kajian adaptasi yang merupakan praktek mengidentifikasi pilihan untuk beradaptasi dengan perubahan iklim dan mengevaluasi mereka dalam hal kriteria seperti ketersediaan, manfaat, biaya, efektivitas, efisiensi, dan kelayakan.
Adaptation costs;Biaya Adaptasi;Adalah biaya adaptasi, biaya perencanaan, mempersiapkan, memfasilitasi, dan melaksanakan langkah adaptasi, termasuk biaya transisi.
Adaptation fund;Dana Adaptasi;Dana yang dihasilkan dari iuran untuk adaptasi pada proyekproyek Mekanisme Pembangunan Bersih. Tujuan dari dana ini adalah untuk membantu negara-negara berkembang yang sangat rentan agar dapat memenuhi biaya adaptasi terhadap perubahan iklim.
Adaptation levy;Retribusi Adaptasi;"Retribusi yang diterapkan untuk semua proyek Mekanisme Pembangunan Bersih kecuali yang berada di ""negara-negara tertinggal"" (LDC),yang akan digunakan untuk dana adaptasi. Retribusi ini berjumlah 2% dari sertifikat yang diterima oleh 3 kegiatan proyek. Dana tersebut akan digunakan untuk membantu negara-negara berkembang untuk adaptasi perubahan iklim."
Adaptive capacity;Kapasitas Adaptasi;Kapasitas adaptasi, kemampuan sistem untuk menyesuaikan diri dengan perubahan iklim (termasuk variabilitas iklim dan iklim ekstrem) tanpa mengalami potensi kerusakan, untuk mengambil keuntungan dari peluang, atau untuk mengatasi konsekuensi dampaknya.
Additionality;Penambahan;"Pengurangan emisi dari sumber atau peningkatan penyerapan oleh rosot yang merupakan tambahan terhadap apapun yang akan terjadi pada tidak adanya dari Implementasi Bersama atau Mekanisme Pembangunan Bersih kegiatan proyek sebagaimana didefinisikan dalam Anggaran Protokol Kyoto pada Pelaksanaan Bersama dan Mekanisme Pembangunan Bersih. definisi ini selanjutnya dapat diperluas untuk mencakup keuangan, investasi, dan penambahan teknologi. Di bawah ""keuangan penambahan, ""dana kegiatan proyek wajib menjadi tambahan untuk Fasilitas Lingkungan Global yang ada, keuangan lainnya komitmen dari Para Pihak yang termasuk dalam Lampiran I, Bantuan Resmi Pembangunan, dan sistem kerja sama lainnya. Di bawah ""tambah investasi,"" nilai Emisi Pengurangan Unit / Satuan Pengurangan Emisi Bersertifikat akan secara signifikan meningkatkan kelangsungan hidup keuangan dan / atau komersial kegiatan proyek. Di bawah ""tambah teknologi,"" yang teknologi yang digunakan untuk kegiatan proyek harus menjadi yang terbaik tersedia untuk keadaan Partai host. Untuk Implementasi Bersama dan proyek Clean Development Mechanism, pengurangan emisi harus tambahan untuk mereka yang terjadi justru sebaliknya. Additionality adalah ketika ada perbedaan positif antara emisi yang terjadi dalam skenario baseline, dan emisi yang terkait dengan proyek yang diusulkan."
Adiabatic process;Proses Adiabatic;Proses adiabatik, Sebuah proses adiabatik adalah proses di mana tidak ada panas eksternal yang diperoleh atau hilang oleh sistem. Proses sebaliknya disebuts sebagai proses diabatic. 4
Adveksi;Adveksi;Transportasi air atau udara bersama dengan sifat-sifatnya (misalnya, suhu, reaksi kimia) oleh gerakan fluida. Mengenai perbedaan umum antara adveksi dan konveksi, Peristiwa adveksi menggambarkan, gerakan atau aliran horisontal skala besar dari atmosfer atau laut, sedangkan konveksi menggambarkan gerakan yang didominasi arus atau gerakan vertikal.
